Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,ORB%.1,FT/FGA.1,Team,Season,SeasonType
60.0,60.0,2022-02-26,,TOR,W,127.0,100.0,,126.3,99.5,100.5,0.265,0.373,0.685,48.3,56.3,8.0,12.7,0.657,11.5,13.9,0.217,0.453,11.2,21.6,0.147,ATL,2022,reg
61.0,61.0,2022-03-01,@,BOS,L,98.0,107.0,,103.7,113.2,94.5,0.289,0.373,0.524,56.0,41.7,8.5,8.3,0.476,9.7,12.2,0.229,0.536,13.3,25.6,0.217,ATL,2022,reg
62.0,62.0,2022-03-03,,CHI,W,130.0,124.0,,137.0,130.7,94.9,0.333,0.476,0.675,49.2,59.1,7.4,4.8,0.631,5.9,22.9,0.286,0.67,13.3,16.7,0.068,ATL,2022,reg
63.0,63.0,2022-03-04,@,WAS,W,117.0,114.0,,125.4,122.1,93.3,0.374,0.396,0.552,51.3,47.4,6.4,8.9,0.489,3.6,27.7,0.308,0.624,13.6,21.2,0.094,ATL,2022,reg
64.0,64.0,2022-03-07,@,DET,L,110.0,113.0,OT,109.9,112.9,90.6,0.237,0.409,0.536,49.5,66.7,3.0,10.0,0.511,12.0,28.9,0.161,0.527,12.0,30.0,0.161,ATL,2022,reg
65.0,65.0,2022-03-09,@,MIL,L,115.0,124.0,,116.5,125.6,98.7,0.256,0.442,0.601,53.2,60.5,6.1,5.1,0.564,8.6,15.2,0.209,0.564,8.0,22.9,0.191,ATL,2022,reg
66.0,66.0,2022-03-11,,LAC,W,112.0,106.0,,121.4,114.9,92.3,0.211,0.344,0.569,43.4,65.1,5.4,6.0,0.528,9.2,33.3,0.189,0.561,11.8,15.8,0.171,ATL,2022,reg
67.0,67.0,2022-03-13,,IND,W,131.0,128.0,,135.3,132.2,96.8,0.286,0.452,0.693,54.4,58.7,9.3,5.6,0.649,11.3,24.3,0.262,0.601,13.0,35.7,0.236,ATL,2022,reg
68.0,68.0,2022-03-14,,POR,W,122.0,113.0,,115.7,107.2,105.5,0.294,0.44,0.496,53.3,70.0,12.3,9.4,0.422,3.1,27.4,0.275,0.557,17.8,25.6,0.17,ATL,2022,reg
69.0,69.0,2022-03-16,@,CHO,L,106.0,116.0,,112.2,122.7,94.5,0.151,0.398,0.534,50.0,70.0,6.3,3.8,0.5,11.6,27.3,0.14,0.557,8.5,26.2,0.218,ATL,2022,reg
70.0,70.0,2022-03-18,,MEM,W,120.0,105.0,,121.5,106.3,98.8,0.231,0.308,0.599,54.5,62.2,12.1,9.4,0.566,9.1,17.5,0.187,0.512,15.0,31.3,0.198,ATL,2022,reg
71.0,71.0,2022-03-20,,NOP,L,112.0,117.0,,108.2,113.1,103.5,0.264,0.368,0.577,57.4,53.7,6.8,5.3,0.529,14.1,16.3,0.23,0.484,12.9,35.3,0.25,ATL,2022,reg
72.0,72.0,2022-03-22,@,NYK,W,117.0,111.0,,123.0,116.6,95.2,0.333,0.444,0.63,48.8,65.0,7.4,9.6,0.586,13.1,27.0,0.272,0.564,12.6,29.8,0.163,ATL,2022,reg
73.0,73.0,2022-03-23,@,DET,L,101.0,122.0,,98.2,118.7,102.8,0.163,0.478,0.512,57.4,56.8,7.8,5.5,0.478,12.4,16.7,0.141,0.568,13.9,22.5,0.25,ATL,2022,reg
74.0,74.0,2022-03-25,,GSW,W,121.0,110.0,,125.9,114.4,96.1,0.213,0.416,0.621,51.6,58.7,11.4,8.2,0.596,11.0,26.7,0.169,0.556,14.3,30.4,0.111,ATL,2022,reg
75.0,75.0,2022-03-28,@,IND,W,132.0,123.0,,136.9,127.5,96.4,0.302,0.407,0.677,41.2,68.1,11.4,7.8,0.645,13.3,39.4,0.244,0.615,12.9,22.9,0.184,ATL,2022,reg
76.0,76.0,2022-03-30,@,OKC,W,136.0,118.0,,128.9,111.8,105.5,0.242,0.429,0.675,49.4,57.1,9.5,8.7,0.637,11.4,15.8,0.22,0.569,15.4,21.3,0.218,ATL,2022,reg
77.0,77.0,2022-03-31,,CLE,W,131.0,107.0,,133.0,108.7,98.5,0.308,0.429,0.634,49.5,60.0,7.1,6.7,0.588,8.0,27.3,0.264,0.472,12.0,29.4,0.244,ATL,2022,reg
78.0,78.0,2022-04-02,,BRK,W,122.0,115.0,,115.9,109.2,105.3,0.57,0.477,0.567,49.1,50.0,9.5,6.5,0.494,6.1,19.2,0.43,0.51,10.8,18.5,0.141,ATL,2022,reg
79.0,79.0,2022-04-05,@,TOR,L,108.0,118.0,,111.8,122.1,96.6,0.128,0.394,0.544,58.3,72.1,5.2,6.1,0.532,6.6,20.0,0.085,0.48,6.5,37.7,0.208,ATL,2022,reg
80.0,80.0,2022-04-06,,WAS,W,118.0,103.0,,121.4,106.0,97.2,0.207,0.424,0.588,53.0,60.5,11.3,2.0,0.554,5.6,15.6,0.174,0.547,13.4,15.8,0.105,ATL,2022,reg
81.0,81.0,2022-04-08,@,MIA,L,109.0,113.0,,113.8,118.0,95.8,0.216,0.386,0.566,43.4,40.5,9.4,0.0,0.523,13.5,31.0,0.193,0.632,16.8,11.8,0.306,ATL,2022,reg
82.0,82.0,2022-04-10,@,HOU,W,130.0,114.0,,134.6,118.0,96.6,0.276,0.437,0.666,40.5,64.4,4.1,9.3,0.638,11.8,31.7,0.218,0.556,7.6,14.0,0.169,ATL,2022,reg
1.0,1.0,2021-10-20,@,NYK,L,134.0,138.0,2OT,105.9,109.1,104.7,0.197,0.487,0.527,49.5,70.8,10.3,15.0,0.5,12.4,23.8,0.145,0.567,14.0,14.6,0.181,BOS,2022,reg
2.0,2.0,2021-10-22,,TOR,L,83.0,115.0,,84.6,117.2,98.1,0.134,0.415,0.478,58.8,59.4,6.1,18.5,0.457,22.4,20.4,0.098,0.47,9.9,39.6,0.21,BOS,2022,reg
3.0,3.0,2021-10-24,@,HOU,W,107.0,97.0,,108.3,98.2,98.8,0.233,0.547,0.564,48.2,57.9,10.1,14.0,0.529,11.2,14.6,0.186,0.52,18.9,11.9,0.253,BOS,2022,reg
4.0,4.0,2021-10-25,@,CHO,W,140.0,129.0,OT,125.2,115.3,101.3,0.248,0.495,0.625,49.5,66.0,7.2,15.3,0.589,9.7,22.4,0.208,0.539,10.8,25.0,0.175,BOS,2022,reg
5.0,5.0,2021-10-27,,WAS,L,107.0,116.0,,108.7,117.8,98.5,0.329,0.341,0.55,56.0,48.6,9.1,8.5,0.494,11.8,21.7,0.271,0.565,14.2,28.9,0.25,BOS,2022,reg
6.0,6.0,2021-10-30,@,WAS,L,112.0,115.0,2OT,94.7,97.3,97.9,0.234,0.243,0.475,53.4,52.3,6.8,14.7,0.421,9.2,13.8,0.206,0.413,9.8,20.7,0.279,BOS,2022,reg
7.0,7.0,2021-11-01,,CHI,L,114.0,128.0,,114.7,128.8,99.4,0.208,0.344,0.544,56.8,47.6,10.1,1.8,0.516,7.9,24.5,0.156,0.645,16.1,28.6,0.198,BOS,2022,reg
8.0,8.0,2021-11-03,@,ORL,W,92.0,79.0,,98.1,84.2,93.8,0.316,0.468,0.511,47.9,72.7,7.5,22.0,0.481,10.9,19.1,0.203,0.375,13.9,16.3,0.19,BOS,2022,reg
9.0,9.0,2021-11-04,@,MIA,W,95.0,78.0,,105.3,86.5,90.2,0.256,0.526,0.547,49.5,51.6,7.8,10.0,0.5,15.6,25.6,0.218,0.401,16.8,27.1,0.16,BOS,2022,reg
